--------- beginning of /dev/log/system
I/auditd  (  128): Starting up
I/Vold    (  123): Vold 2.1 (the revenge) firing up
D/Vold    (  123): Volume usbdisk state changing -1 (Initializing) -> 0 (No-Media)
I/audit_log(  128): Previous audit logfile detected, rotating
W/dalvikvm(  133): PR_SET_NO_NEW_PRIVS failed. Is your kernel compiled correctly?: Invalid argument
I/SystemServer(  418): Entered the Android system server!
I/SystemServer(  418): Enabled StrictMode logging for UI Looper
I/SystemServer(  418): Waiting for installd to be ready.
I/Installer(  418): connecting...
I/SystemServer(  418): Power Manager
I/SystemServer(  418): Activity Manager
I/SystemServer(  418): Enabled StrictMode logging for WM Looper
I/ActivityManager(  418): Memory class: 64
I/ActivityManager(  418): Enabled StrictMode logging for AThread's Looper
I/SystemServer(  418): Display Manager
I/SystemServer(  418): Telephony Registry
I/DisplayManagerService(  418): Display device added: DisplayDeviceInfo{"Écran intégré": 720 x 1280, 58.981003 fps, density 320, 315.31033 x 318.7451 dpi, touch INTERNAL, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS, rotation 0, type BUILT_IN, address null}
I/SystemServer(  418): Scheduling Policy
I/SystemServer(  418): Package Manager
D/SELinuxMMAC(  418): Couldn't find install policy /data/security/mac_permissions.xml
D/SELinuxMMAC(  418): MMAC install enabled using file /system/etc/security/mac_permissions.xml
D/SELinuxMMAC(  418): MMAC install starting in permissive mode.
I/SELinuxMMAC(  418): <signer> tag:
I/SELinuxMMAC(  418): 308204a830820390a003020102020900b3998086d056cffa300d06092a864886f70d0101040
I/SELinuxMMAC(  418): 500308194310b3009060355040613025553311330110603550408130a43616c69666f726e69
I/SELinuxMMAC(  418): 61311630140603550407130d4d6f756e7461696e20566965773110300e060355040a1307416
I/SELinuxMMAC(  418): e64726f69643110300e060355040b1307416e64726f69643110300e06035504031307416e64
I/SELinuxMMAC(  418): 726f69643122302006092a864886f70d0109011613616e64726f696440616e64726f69642e6
I/SELinuxMMAC(  418): 36f6d301e170d3038303431353232343035305a170d3335303930313232343035305a308194
I/SELinuxMMAC(  418): 310b3009060355040613025553311330110603550408130a43616c69666f726e69613116301
I/SELinuxMMAC(  418): 40603550407130d4d6f756e7461696e20566965773110300e060355040a1307416e64726f69
I/SELinuxMMAC(  418): 643110300e060355040b1307416e64726f69643110300e06035504031307416e64726f69643
I/SELinuxMMAC(  418): 122302006092a864886f70d0109011613616e64726f696440616e64726f69642e636f6d3082
I/SELinuxMMAC(  418): 0120300d06092a864886f70d01010105000382010d003082010802820101009c780592ac0d5
I/SELinuxMMAC(  418): d381cdeaa65ecc8a6006e36480c6d7207b12011be50863aabe2b55d009adf7146d6f2202280
I/SELinuxMMAC(  418): c7cd4d7bdb26243b8a806c26b34b137523a49268224904dc01493e7c0acf1a05c874f69b037
I/SELinuxMMAC(  418): b60309d9074d24280e16bad2a8734361951eaf72a482d09b204b1875e12ac98c1aa773d6800
I/SELinuxMMAC(  418): b9eafde56d58bed8e8da16f9a360099c37a834a6dfedb7b6b44a049e07a269fccf2c5496f2c
I/SELinuxMMAC(  418): f36d64df90a3b8d8f34a3baab4cf53371ab27719b3ba58754ad0c53fc14e1db45d51e234fbb
I/SELinuxMMAC(  418): e93c9ba4edf9ce54261350ec535607bf69a2ff4aa07db5f7ea200d09a6c1b49e21402f89ed1
I/SELinuxMMAC(  418): 190893aab5a9180f152e82f85a45753cf5fc19071c5eec827020103a381fc3081f9301d0603
I/SELinuxMMAC(  418): 551d0e041604144fe4a0b3dd9cba29f71d7287c4e7c38f2086c2993081c90603551d230481c
I/SELinuxMMAC(  418): 13081be80144fe4a0b3dd9cba29f71d7287c4e7c38f2086c299a1819aa48197308194310b30
I/SELinuxMMAC(  418): 09060355040613025553311330110603550408130a43616c69666f726e69613116301406035
I/SELinuxMMAC(  418): 50407130d4d6f756e7461696e20566965773110300e060355040a1307416e64726f69643110
I/SELinuxMMAC(  418): 300e060355040b1307416e64726f69643110300e06035504031307416e64726f69643122302
I/SELinuxMMAC(  418): 006092a864886f70d0109011613616e64726f696440616e64726f69642e636f6d820900b399
I/SELinuxMMAC(  418): 8086d056cffa300c0603551d13040530030101ff300d06092a864886f70d010104050003820
I/SELinuxMMAC(  418): 10100572551b8d93a1f73de0f6d469f86dad6701400293c88a0cd7cd778b73dafcc197fab76
I/SELinuxMMAC(  418): e6212e56c1c761cfc42fd733de52c50ae08814cefc0a3b5a1a4346054d829f1d82b42b2048b
I/SELinuxMMAC(  418): f88b5d14929ef85f60edd12d72d55657e22e3e85d04c831d613d19938bb8982247fa321256b
I/SELinuxMMAC(  418): a12d1d6a8f92ea1db1c373317ba0c037f0d1aff645aef224979fba6e7a14bc025c71b98138c
I/SELinuxMMAC(  418): ef3ddfc059617cf24845cf7b40d6382f7275ed738495ab6e5931b9421765c491b72fb68e080
I/SELinuxMMAC(  418): dbdb58c2029d347c8b328ce43ef6a8b15533edfbe989bd6a48dd4b202eda94c6ab8dd5b8399
I/SELinuxMMAC(  418): 203daae2ed446232e4fe9bd961394c6300e5138e3cfd285e6e4e483538cb8b1b357
I/SELinuxMMAC(  418):     Assigned: [allow-all]
I/SELinuxMMAC(  418): <signer> tag:
I/SELinuxMMAC(  418): 308204a830820390a003020102020900f2b98e6123572c4e300d06092a864886f70d0101040
I/SELinuxMMAC(  418): 500308194310b3009060355040613025553311330110603550408130a43616c69666f726e69
I/SELinuxMMAC(  418): 61311630140603550407130d4d6f756e7461696e20566965773110300e060355040a1307416
I/SELinuxMMAC(  418): e64726f69643110300e060355040b1307416e64726f69643110300e06035504031307416e64
I/SELinuxMMAC(  418): 726f69643122302006092a864886f70d0109011613616e64726f696440616e64726f69642e6
I/SELinuxMMAC(  418): 36f6d301e170d3038303431353233343035375a170d3335303930313233343035375a308194
I/SELinuxMMAC(  418): 310b3009060355040613025553311330110603550408130a43616c69666f726e69613116301
I/SELinuxMMAC(  418): 40603550407130d4d6f756e7461696e20566965773110300e060355040a1307416e64726f69
I/SELinuxMMAC(  418): 643110300e060355040b1307416e64726f69643110300e06035504031307416e64726f69643
I/SELinuxMMAC(  418): 122302006092a864886f70d0109011613616e64726f696440616e64726f69642e636f6d3082
I/SELinuxMMAC(  418): 0120300d06092a864886f70d01010105000382010d00308201080282010100ae250c5a16ef9
I/SELinuxMMAC(  418): 7fc2869ac651b3217cc36ba0e86964168d58a049f40ce85867123a3ffb4f6d949c33cf2da3a
I/SELinuxMMAC(  418): 05c23eacaa57d803889b1759bcf59e7c6f21890ae25085b7ed56aa626c0989ef9ccd36362ca
I/SELinuxMMAC(  418): 0e8d1b9603fd4d8328767926ccc090c68b775ae7ff30934cc369ef2855a2667df0c667fd0c7
I/SELinuxMMAC(  418): cf5d8eba655806737303bb624726eabaedfb72f07ed7a76ab3cb9a381c4b7dcd809b140d891
I/SELinuxMMAC(  418): f00213be401f58d6a06a61eadc3a9c2f1c6567285b09ae09342a66fa421eaf93adf7573a028
I/SELinuxMMAC(  418): c331d70601ab3af7cc84033ece7c772a3a5b86b0dbe9d777c3a48aa9801edcee2781589f44d
I/SELinuxMMAC(  418): 9e4113979600576a99410ba81091259dad98c6c68ff784b8f020103a381fc3081f9301d0603
I/SELinuxMMAC(  418): 551d0e04160414ca293caa8bc0ed3e542eef4205a2bff2b57e4d753081c90603551d230481c
I/SELinuxMMAC(  418): 13081be8014ca293caa8bc0ed3e542eef4205a2bff2b57e4d75a1819aa48197308194310b30
I/SELinuxMMAC(  418): 09060355040613025553311330110603550408130a43616c69666f726e69613116301406035
I/SELinuxMMAC(  418): 50407130d4d6f756e7461696e20566965773110300e060355040a1307416e64726f69643110
I/SELinuxMMAC(  418): 300e060355040b1307416e64726f69643110300e06035504031307416e64726f69643122302
I/SELinuxMMAC(  418): 006092a864886f70d0109011613616e64726f696440616e64726f69642e636f6d820900f2b9
I/SELinuxMMAC(  418): 8e6123572c4e300c0603551d13040530030101ff300d06092a864886f70d010104050003820
I/SELinuxMMAC(  418): 1010084de9516d5e4a87217a73da8487048f53373a5f733f390d61bdf3cc9e5251625bfcaa7
I/SELinuxMMAC(  418): c3159cae275d172a9ae1e876d5458127ac542f68290dd510c0029d8f51e0ee156b7b7b5acdb
I/SELinuxMMAC(  418): 394241b8ec78b74e5c42c5cafae156caf5bd199a23a27524da072debbe378464a533630b0e4
I/SELinuxMMAC(  418): d0ffb7e08ecb701fadb6379c74467f6e00c6ed888595380792038756007872c8e3007af423a
I/SELinuxMMAC(  418): 57a2cab3a282869b64c4b7bd5fc187d0a7e2415965d5aae4e07a6df751b4a75e9793c918a61
I/SELinuxMMAC(  418): 2b81cd0b628aee0168dc44e47b10d3593260849d6adf6d727dc24444c221d3f9ecc368cad07
I/SELinuxMMAC(  418): 999f2b8105bc1f20d38d41066cc1411c257a96ea4349f5746565507e4e8020a1a81
I/SELinuxMMAC(  418):     Assigned: [allow-all]
I/SELinuxMMAC(  418): <signer> tag:
I/SELinuxMMAC(  418): 308204a830820390a003020102020900f2a73396bd38767a300d06092a864886f70d0101040
I/SELinuxMMAC(  418): 500308194310b3009060355040613025553311330110603550408130a43616c69666f726e69
I/SELinuxMMAC(  418): 61311630140603550407130d4d6f756e7461696e20566965773110300e060355040a1307416
I/SELinuxMMAC(  418): e64726f69643110300e060355040b1307416e64726f69643110300e06035504031307416e64
I/SELinuxMMAC(  418): 726f69643122302006092a864886f70d0109011613616e64726f696440616e64726f69642e6
I/SELinuxMMAC(  418): 36f6d301e170d3038303732333231353735395a170d3335313230393231353735395a308194
I/SELinuxMMAC(  418): 310b3009060355040613025553311330110603550408130a43616c69666f726e69613116301
